1	1800	22.0
1	350	2.0
1	451	2.0
1	653	10.0
1	712	2.0
1	834	10.0
1	942	2.0
1	1003	8.0
1	1045	4.0
1	1346	2.0
1	1458	2.0
1	1480	2.0
1	1491	6.0
1	1654	2.0
1	1664	6.0
1	1813	4.0
1	1857	8.0
1	1890	12.0
1	250	4.0
1	474	16.0
1	520	4.0
1	693	10.0
1	923	4.0
1	1447	6.0
1	1464	4.0
1	1634	4.0
1	177	2.0
1	242	4.0
1	619	10.0
1	770	4.0
1	783	8.0
1	821	10.0
1	896	10.0
1	1373	2.0
1	1208	18.0
1	1883	10.0
1	106	8.0
1	371	6.0
1	523	10.0
1	737	2.0
1	861	4.0
1	989	8.0
1	1081	2.0
1	1100	2.0
1	1152	2.0
1	1243	6.0
1	1492	2.0
1	1495	6.0
1	1879	6.0
1	1386	10.0
1	52	4.0
1	316	4.0
1	403	4.0
1	686	6.0
1	891	24.0
1	924	8.0
1	1053	4.0
1	1142	22.0
1	1284	4.0
1	1442	8.0
1	1522	4.0
1	1725	4.0
1	1718	6.0
1	450	6.0
1	482	4.0
1	603	10.0
1	679	8.0
1	831	8.0
1	1198	10.0
1	1437	10.0
1	1503	10.0
1	1792	6.0
1	1966	10.0
1	1790	10.0
2	181	2.0
2	520	10.0
2	631	10.0
2	679	6.0
2	713	10.0
2	917	10.0
2	931	2.0
2	1142	10.0
2	1214	6.0
2	1263	6.0
2	1325	10.0
2	1346	8.0
2	1587	8.0
2	1732	10.0
2	1800	8.0
2	1833	4.0
2	1671	6.0
2	180	8.0
2	449	10.0
2	502	8.0
2	848	8.0
2	1203	10.0
2	1614	4.0
2	1729	6.0
2	873	10.0
2	26	10.0
2	530	8.0
2	1556	10.0
2	1606	8.0
2	716	22.0
2	1521	6.0
2	1958	8.0
2	1963	10.0
2	588	2.0
3	192	4.0
3	678	6.0
3	770	8.0
3	923	10.0
3	942	10.0
3	1068	8.0
3	1587	20.0
3	1800	8.0
3	1961	6.0
3	30	8.0
3	42	8.0
3	145	8.0
3	270	8.0
3	306	10.0
3	386	8.0
3	389	10.0
3	617	8.0
3	837	10.0
3	886	10.0
3	896	10.0
3	902	2.0
3	930	10.0
3	935	8.0
3	1174	8.0
3	1206	8.0
3	1263	6.0
3	1317	8.0
3	1460	8.0
3	1556	10.0
3	1723	2.0
3	1822	16.0
3	1890	8.0
3	1940	4.0
3	1946	10.0
3	1968	8.0
3	1974	10.0
3	1976	10.0
3	596	8.0
3	6	10.0
3	88	10.0
3	125	10.0
3	224	2.0
3	225	6.0
3	291	2.0
3	496	10.0
3	508	8.0
3	522	4.0
3	524	8.0
3	557	10.0
3	676	6.0
3	698	2.0
3	913	8.0
3	1044	10.0
3	1208	10.0
3	1214	8.0
3	1364	10.0
3	1418	10.0
3	1442	8.0
3	1566	10.0
3	1580	10.0
3	1628	10.0
3	1656	10.0
3	1718	10.0
3	1919	10.0
3	1989	4.0
4	495	6.0
4	621	8.0
4	1068	42.0
4	1260	6.0
4	1408	8.0
4	1105	8.0
4	1696	8.0
4	189	2.0
4	562	10.0
4	659	8.0
4	872	2.0
4	1093	4.0
4	1286	10.0
4	1421	2.0
4	91	10.0
4	1335	2.0
4	1416	8.0
4	1640	10.0
4	1650	20.0
4	1803	8.0
4	1879	20.0
4	1893	10.0
4	737	10.0
4	1053	10.0
4	1316	10.0
4	358	10.0
4	887	10.0
4	1495	10.0
4	558	10.0
4	574	6.0
4	1124	10.0
4	1128	8.0
4	1208	10.0
4	1399	10.0
4	1572	10.0
4	1937	10.0
4	389	10.0
4	502	10.0
4	1140	10.0
4	1294	8.0
4	762	10.0
4	1297	10.0
4	1691	8.0
5	457	10.0
5	1068	2.0
5	1140	8.0
5	1647	2.0
5	1888	10.0
6	1311	10.0
6	520	10.0
6	583	2.0
6	617	8.0
6	664	10.0
6	676	14.0
6	712	2.0
6	781	10.0
6	923	4.0
6	1142	10.0
6	1346	4.0
6	1587	10.0
6	1654	10.0
6	1744	2.0
6	1766	10.0
6	1800	8.0
6	1817	8.0
6	1208	18.0
6	88	10.0
6	125	10.0
6	224	2.0
6	225	6.0
6	291	2.0
6	496	10.0
6	508	8.0
6	522	4.0
6	524	8.0
6	557	10.0
6	698	2.0
6	913	8.0
6	1044	10.0
6	1214	8.0
6	1364	10.0
6	1418	10.0
6	1442	8.0
6	1566	10.0
6	1580	10.0
6	1628	10.0
6	1656	10.0
6	1718	10.0
6	1822	8.0
6	1919	10.0
6	1989	4.0
7	1934	20.0
7	1770	6.0
8	166	6.0
8	1260	10.0
8	1877	8.0
8	495	8.0
8	779	10.0
8	1169	8.0
8	1556	6.0
8	1696	8.0
8	608	2.0
8	1068	2.0
8	1180	2.0
9	1283	122.0
9	1473	34.0
9	315	18.0
9	1017	40.0
9	870	8.0
9	1185	10.0
9	192	36.0
9	1000	10.0
9	242	16.0
9	400	10.0
9	787	28.0
9	1325	8.0
9	1531	8.0
9	1535	8.0
9	1768	6.0
9	1993	8.0
9	804	8.0
9	866	18.0
9	28	6.0
9	309	6.0
9	678	18.0
9	1356	10.0
9	210	10.0
9	1050	8.0
9	619	8.0
9	626	10.0
9	301	14.0
9	75	10.0
9	1507	8.0
9	598	10.0
9	1574	8.0
9	518	8.0
9	821	10.0
9	620	8.0
9	652	8.0
10	596	4.0
10	1948	8.0
10	1820	10.0
10	1832	8.0
10	617	32.0
10	1168	8.0
10	18	8.0
10	145	10.0
10	200	10.0
10	271	8.0
10	282	10.0
10	318	16.0
10	488	10.0
10	851	10.0
10	1068	8.0
10	1080	8.0
10	1206	10.0
10	1278	8.0
10	1346	16.0
10	1394	6.0
10	1439	8.0
10	1822	10.0
10	585	10.0
10	729	10.0
